id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-184,7434,2009,-53.773951,-29.632775,17.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2009
ctb0003-sm-dnos-185,4550,2009,-53.77524,-29.62796,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-186,2765,2009,-53.779236,-29.630274,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2009
ctb0003-sm-dnos-187,5386,2009,-53.779139,-29.628052,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2009
ctb0003-sm-dnos-188,6255,2009,-53.783342,-29.627437,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-189,4342,2009,-53.785368,-29.628124,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-190,3081,2009,-53.785349,-29.625145,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-191,5796,2009,-53.787398,-29.62342,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-192,6350,2009,-53.788318,-29.621231,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-193,4052,2009,-53.790046,-29.61797,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-194,6161,2009,-53.7917,-29.615567,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-195,5846,2009,-53.793258,-29.618216,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-196,5746,2009,-53.795506,-29.614269,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
