"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-356",3.7,2012,-53.815417,-29.632819
"ctb0003-sm-dnos-357",1.98,2012,-53.814453,-29.632308
"ctb0003-sm-dnos-358",3.66,2012,-53.813526,-29.632003
"ctb0003-sm-dnos-359",3.23,2013,-53.812514,-29.631627
"ctb0003-sm-dnos-360",16.7,2013,-53.811566,-29.631305
"ctb0003-sm-dnos-361",4.53,2012,-53.787474,-29.623597
"ctb0003-sm-dnos-362",5.11,2012,-53.786729,-29.62428
"ctb0003-sm-dnos-363",5.13,2012,-53.786023,-29.624881
"ctb0003-sm-dnos-364",5.36,2012,-53.785329,-29.625572
"ctb0003-sm-dnos-365",5.47,2012,-53.784594,-29.626228
"ctb0003-sm-dnos-366",2.97,2013,-53.775854,-29.637668
"ctb0003-sm-dnos-367",4.27,2013,-53.775065,-29.638261
"ctb0003-sm-dnos-368",5.47,2013,-53.774265,-29.638837
"ctb0003-sm-dnos-369",3.21,2013,-53.773475,-29.639413
"ctb0003-sm-dnos-370",3.27,2013,-53.772686,-29.639998
"ctb0003-sm-dnos-371",3.54,2012,-53.791783,-29.651431
"ctb0003-sm-dnos-372",2.65,2012,-53.790984,-29.652034
"ctb0003-sm-dnos-373",3.36,2012,-53.790196,-29.652664
"ctb0003-sm-dnos-374",2.31,2012,-53.789439,-29.653311
"ctb0003-sm-dnos-375",1.9,2012,-53.788711,-29.653849
"ctb0003-sm-dnos-376",5,2012,-53.798455,-29.616411
"ctb0003-sm-dnos-377",4.96,2012,-53.798779,-29.617297
"ctb0003-sm-dnos-378",5.32,2012,-53.79908,-29.618103
"ctb0003-sm-dnos-379",2.72,2012,-53.799403,-29.618962
"ctb0003-sm-dnos-380",4.49,2012,-53.799727,-29.619839
"ctb0003-sm-dnos-381",4.07,2012,-53.809508,-29.627858
"ctb0003-sm-dnos-382",3.56,2012,-53.808711,-29.628533
"ctb0003-sm-dnos-383",1.65,2012,-53.80789,-29.629073
"ctb0003-sm-dnos-384",1.69,2012,-53.807069,-29.629605
"ctb0003-sm-dnos-385",1.92,2012,-53.806321,-29.63018
"ctb0003-sm-dnos-386",7.28,2013,-53.817653,-29.645264
"ctb0003-sm-dnos-387",6.71,2013,-53.816633,-29.644952
"ctb0003-sm-dnos-388",6.3,2013,-53.815736,-29.644637
"ctb0003-sm-dnos-389",1.78,2013,-53.814786,-29.644251
"ctb0003-sm-dnos-390",2.99,2013,-53.813846,-29.643883
"ctb0003-sm-dnos-391",4.11,2012,-53.803137,-29.613651
"ctb0003-sm-dnos-392",8.57,2012,-53.802267,-29.613174
"ctb0003-sm-dnos-393",5.13,2012,-53.801399,-29.612732
